video_name,n_frames,k_frames,prompt_id
10om04b2LIw_8-8-rgb_front,146,41,3
FStKSCmBx00_12-4-rgb_front,158,49,1
1UvJ0mvrOPw_29-5-rgb_front,567,49,9
1q7brn6q5IE_6-8-rgb_front,61,13,6
CITqUVKneOc_12-8-rgb_front,228,49,3
berpJe71eNY_10-4-rgb_front,329,49,0
E-zi5MLGq_U_15-8-rgb_front,88,21,3
1Tix6cnQko4_16-5-rgb_front,88,21,9
cw66nEbqw2w_8-9-rgb_front,329,49,9
_BOJ9cYPRe4_18-8-rgb_front,64,21,5
aziKlBI09Ug_3-8-rgb_front,36,9,1
1UvJ0mvrOPw_13-5-rgb_front,36,9,6
eUtZatstDh4_7-5-rgb_front,103,21,7
2JpUMNLreN4_9-5-rgb_front,49,13,0
-9D6kP1TgbY_17-8-rgb_front,93,21,4
fCk8Md58LK4_1-4-rgb_front,137,41,5
1l6MC-9BQa0_32-5-rgb_front,177,49,0
D0T7ho08Q3o_5-2-rgb_front,105,21,5
d7sVdYZqjQk_8-5-rgb_front,117,21,9
1Iv4aWWKhxg_1-5-rgb_front,318,49,9
0ymOkVCAqT4_3-5-rgb_front,184,49,8
asnjOLvpsoQ_9-8-rgb_front,49,13,2
1fPFcBdBziw_9-8-rgb_front,64,21,2
-fNgnONv_3I_12-5-rgb_front,537,49,6
2-G31CNowCU_5-8-rgb_front,142,41,7
3AZ3qDTv1BM_5-5-rgb_front,90,21,3
0v1XIVZ_GzM_12-8-rgb_front,201,49,1
1rc77BaY7jg_19-8-rgb_front,122,21,2
-eSwgmd4XaQ_6-5-rgb_front,118,21,3
-1rM0t5FMiE_5-5-rgb_front,132,41,4
b4bK9WtPz4A_12-5-rgb_front,246,49,3
1IRHEhx1lBs_30-5-rgb_front,34,9,8
1mN7gG892WI_3-8-rgb_front,198,49,8
1MUKBwc84DA_0-8-rgb_front,78,21,8
1gDezSEPi_o_8-8-rgb_front,64,21,0
1nX2jOEHvmQ_10-11-rgb_front,46,13,4
025gAKRCIKY_9-3-rgb_front,364,49,8
0uCaKKqoPSk_13-8-rgb_front,331,49,5
BoBx1pDyFog_0-8-rgb_front,70,21,1
CQ938XE05sg_1-8-rgb_front,85,21,4
ao9GdnEgTGQ_6-5-rgb_front,308,49,2
003D1CHLnQs_10-5-rgb_front,283,49,0
1ZF-GpZ0ofw_5-5-rgb_front,261,49,2
1OJx7Vfnr6w_0-8-rgb_front,91,21,5
EmxarfGOKd0_29-8-rgb_front,224,49,9
1FGZO3MoD0s_1-5-rgb_front,120,21,3
14fs-ot5KCc_3-8-rgb_front,92,21,6
5nk3hS9UHl0_14-8-rgb_front,716,49,4
1YUEFVWWCpc_12-8-rgb_front,65,21,5
1Ot-mwXOTuQ_2-8-rgb_front,83,21,0
11whCAUxiQc_1-8-rgb_front,101,21,2
204pffNcQbc_7-8-rgb_front,56,13,8
1RKo1xJauj4_13-5-rgb_front,162,49,2
52MbWpfvuF0_18-8-rgb_front,238,49,3
1E70qW68aZw_22-5-rgb_front,49,13,1
-4Sl9mPOlfA_1-3-rgb_front,225,49,3
f6SJe6s7FBQ_3-8-rgb_front,207,49,4
bbGZcyIMvCI_1-2-rgb_front,109,21,2
E-PDvv4N-uE_8-5-rgb_front,169,49,7
-AVtT8Kl-fs_16-8-rgb_front,46,13,5
16W1jnZzfi4_16-8-rgb_front,93,21,5
eefsk97G-44_10-5-rgb_front,30,9,7
0JH35Eyysww_8-5-rgb_front,193,49,6
077rQK39ycg_11-5-rgb_front,88,21,7
1NSanqJ8AS4_8-5-rgb_front,214,49,2
b-PYYUYz1V4_2-2-rgb_front,79,21,9
doMosV-zfCI_37-2-rgb_front,46,13,9
F0CLgejV5_k_5-5-rgb_front,141,41,1
1s1TPdCUvhQ_4-8-rgb_front,96,21,1
BWwv9mrgdVU_3-5-rgb_front,177,49,5
-CI0wTBVlaI_5-8-rgb_front,84,21,4
0og2_UjYWyg_19-5-rgb_front,259,49,9
2Az2H4I1v2I_2-1-rgb_front,66,21,0
e9UWZ3kkA7Y_12-8-rgb_front,80,21,4
05snMPwCV98_12-5-rgb_front,81,21,4
0H60j0VxTaE_12-5-rgb_front,265,49,3
1PmWOoJTEiw_10-8-rgb_front,151,49,1
476vh2-HlV0_9-5-rgb_front,85,21,8
FStKSCmBx00_2-4-rgb_front,79,21,3
Dvq-Fc0-Lxk_5-5-rgb_front,29,9,4
41uzlhDMROA_2-3-rgb_front,150,49,3
072DGdBjfkQ_12-5-rgb_front,338,49,6
59xX5JTRuk4_3-8-rgb_front,175,49,9
eBrlZcccILg_28-3-rgb_front,112,21,5
1fPFcBdBziw_0-8-rgb_front,83,21,3
FSfYt1I8xq0_5-3-rgb_front,231,49,1
DnWpxYlY4cc_5-5-rgb_front,214,49,0
00m1mQFF5zo_11-3-rgb_front,126,41,2
0EhQlUjX9Q8_13-3-rgb_front,53,13,9
aD7Kmdiuigo_3-5-rgb_front,319,49,7
36xBmAZNzRg_16-5-rgb_front,135,41,7
