video_name,n_frames,k_frames,prompt_id
03August_2010_Tuesday_tagesschau-2778,136,41,5
18January_2011_Tuesday_heute-5466,256,41,9
09December_2009_Wednesday_heute-4741,57,13,7
06April_2010_Tuesday_tagesschau-312,83,21,1
06December_2011_Tuesday_heute-1546,63,13,4
27June_2011_Monday_heute-2465,76,21,0
01June_2011_Wednesday_heute-945,191,41,8
28November_2011_Monday_tagesschau-160,102,21,5
15April_2010_Thursday_tagesschau-5774,94,21,8
29September_2010_Wednesday_heute-5460,151,41,7
15July_2009_Wednesday_tagesschau-5299,69,21,7
31January_2011_Monday_tagesschau-679,92,21,7
31January_2013_Thursday_tagesschau-2712,125,21,1
21October_2011_Friday_tagesschau-4107,119,21,7
18May_2010_Tuesday_heute-3371,38,9,6
10November_2010_Wednesday_tagesschau-6805,200,41,9
18January_2010_Monday_heute-3846,78,21,4
08February_2010_Monday_heute-1503,57,13,7
12December_2011_Monday_tagesschau-8283,175,41,4
22April_2010_Thursday_tagesschau-3728,40,9,8
27November_2011_Sunday_tagesschau-5150,97,21,2
26October_2010_Tuesday_tagesschau-5792,103,21,7
30April_2010_Friday_tagesschau-2028,141,41,2
14October_2009_Wednesday_tagesschau-525,96,21,0
03July_2009_Friday_tagesschau-2007,170,41,0
31May_2011_Tuesday_tagesschau-4301,87,21,2
29April_2010_Thursday_heute-8617,72,21,0
15July_2011_Friday_tagesschau-8717,107,21,1
22November_2011_Tuesday_heute-4656,153,41,1
01August_2011_Monday_heute-4855,95,21,6
07December_2010_Tuesday_heute-5631,232,41,1
20September_2010_Monday_tagesschau-7036,33,9,0
24January_2011_Monday_tagesschau-3723,84,21,6
10March_2011_Thursday_heute-54,197,41,6
26January_2010_Tuesday_tagesschau-2789,162,41,6
12August_2009_Wednesday_tagesschau-1800,84,21,1
09February_2011_Wednesday_tagesschau-2506,105,21,9
29November_2009_Sunday_tagesschau-7042,110,21,6
14July_2010_Wednesday_tagesschau-1859,80,21,6
21November_2011_Monday_tagesschau-2258,185,41,4
17September_2010_Friday_tagesschau-3422,127,21,8
06October_2010_Wednesday_tagesschau-641,184,41,9
18January_2011_Tuesday_heute-5478,44,13,0
